SUBCLASSE|DENOMINACAO|DESCRICAO|ITEM|SUBITEM|ALIQUOTA|IDCNAE 
7490103|SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS|SERVIÇOS DE EXTENSÃO RURAL|7|1|3|9272
0311604|ATIVIDADES DE APOIO A PESCA EM AGUA SALGADA|SERVIÇO DE EXTENSÃO DE PESCA|7|1|3|9274
7490103|SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS|SERVIÇOS DE ASSESSORIA ÀS ATIVIDADES AGRÍCOLAS|7|1|3|9275
0312404|ATIVIDADES DE APOIO A PESCA EM AGUA DOCE|SERVIÇO DE EXTENSÃO DE PESCA|7|1|3|9273
7490103|SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS|SERVIÇOS DE AGRONOMIA|7|1|3|9271
7119701|SERVICOS DE CARTOGRAFIA, TOPOGRAFIA E GEODESIA|SERVIÇOS DE AGRIMENSURA|7|1|3|9269
7112000|SERVICOS DE ENGENHARIA|SERVIÇOS DE ENGENHARIA|7|1|3|9111
7111100|SERVICOS DE ARQUITETURA|SERVIÇOS DE ARQUITETURA|7|1|3|9110
4531402|Construção de estações e redes de distribuição de energia elétrica|Serviços de construção civil|7|2|3|91
4399101|ADMINISTRACAO DE OBRAS|SERVIÇOS DE ADMINISTRAÇÃO DE OBRAS DE CONSTRUÇÃO CIVIL|7|2|3|9284
4120400|CONSTRUCAO DE EDIFICIOS|SERVIÇOS DE CONSTRUÇÃO CIVIL|7|2|3|9283
4399199|SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE|SERVIÇOS DE CONCRETAGEM|7|2|3|9282
4120400|CONSTRUCAO DE EDIFICIOS|SERVIÇOS DE CONCRETAGEM|7|2|3|9281
4120400|CONSTRUCAO DE EDIFICIOS|SERVIÇOS DE BOMBEAMENTO DE CONCRETO|7|2|3|9280
